rating,timestamp,helpful_vote,verified_purchase,review,polarity,subjectivity
3,2021-09-12 16:03:16.072,0,True,@maizyshiba approve use couple mod fit great @maizyshiba outer mouth teeth!<br /><br />it durable sturdy withstand love chew softly dental gel bristle need remove bit buildup.<br /><br />i away star bristle spin easily option come fairly easily watch possibility.<br /><br />mod desired:<br />1 bristle tough bit tooth great gums.<br />2 bristle spin easily possibility come maybe piece silicon brush thin stainless steel rod end handle sturdiness level,0.292593,0.636111
3,2016-04-05 04:36:46.000,14,True,design provide support ... design provide support heel provide support arch high arch cause plantar fasciitis find helpful.<br /><br />if narrow heel find shoe slip lot help prevent blister thick neoprene cushion heel,-0.113333,0.471667
4,2013-03-02 20:00:48.000,0,True,grout bully grout bully grout whiter awhile start fade apply definitely whiten grout,0.000000,0.500000
5,2016-10-19 17:19:14.000,0,True,work great packaged work expect prime item,0.800000,0.750000
5,2018-07-14 17:03:57.525,0,True,perfect working great thank,0.900000,0.875000
4,2018-11-21 22:33:20.271,0,True,great screens great screen problem screen randomly pop push hard overall good screen buy need,0.251389,0.523611
5,2018-12-29 18:54:23.626,0,True,pay additional cost- regret solid feeling like cheap drugstore type twist try cut nail concerned high cost feel difference cut finger nail ... different experience,0.140000,0.485000
4,2015-01-09 18:41:29.000,1,True,perfect baby sit ... perfect baby sit want bit support slippery tub bathe twin time dry overnight room improvement.<br /><br />product update recommendation use water proof material fabric cushion getting excessively soak,0.420833,0.900000
2,2014-07-10 12:11:23.000,2,False,disappoint hear wonderful disappoint hear wonderful mosquito infested area northern michigan simply work sorry,0.375000,0.839286
5,2018-12-19 15:33:12.998,1,True,buy product feel like skeptical person come order online believe review .... read product true beard soft growth amazing smell phenomenal .... regret order entire product soon,0.175000,0.587500
5,2018-12-28 21:23:57.571,2,True,soft brush similar facial brush brand surprisingly brush set soft gift dear friend know soft mean facial brush like feeling brush set brush foam head nice think reasonably price hopefully long,0.130682,0.421591
5,2021-12-24 18:35:37.818,1,True,far good product purchase use product definitely good,0.500000,0.733333
5,2020-04-15 21:01:53.748,0,True,heavenly smell awesome love,0.750000,0.800000
1,2019-09-21 03:15:23.814,1,True,steamer cap faulty steamer like cool facial mister misleading star look attractive light cool mist work intermittently tap work stick remove 24 hour .. worth 11 spend,0.366667,0.516667
5,2015-07-16 15:12:51.000,0,True,work work,0.000000,0.000000
1,2021-10-18 06:46:40.359,0,True,scratchy easy tear rip scratchy,0.433333,0.833333
5,2017-03-01 12:41:23.000,5,True,great help fear choke ... order 3rd 4th tube stuff great help fear choke medicine tube syrupy work thick easy form slippery gel cap pill usually cut large pill half easy.<br />it work probably 95 time way able swallow pill recommend.<br /><br />also cool thing medication regularly product find swallow pill grow comfortable motion know pill definitely stick throat.<br />however end stuff start new round prescription time pass,0.181154,0.477336
5,2021-10-23 14:07:56.047,0,True,thick napkin good quality napkin fine detail,0.272222,0.525000
3,2019-04-13 22:17:48.492,0,False,noise cancellation edit review item contact company able issue refund big complaint resolve polite courteous product didn't hope soft perfect need light blocker think good road tripper fly probably use neck pillow pretty comfortably sharp hearing like probably sound -<br /><br />i buy specifically suppose noise cancellation capability intensely disappointing unable block sound quiet ceiling fan let block traffic noise snore muffle sound slightly similar pillow head hear everything.<br /><br />my big complaint contact company initiate return respond pretty useless item response regret order directly company instead amazon.<br /><br />it soft block light need perfect good sleeper want wear bed sleeper likely find terribly uncomfortable bulk,0.181897,0.583046
5,2018-04-19 15:39:57.447,0,True,stars love lotion order come fast great condition pleased,0.500000,0.737500
2,2019-05-20 12:23:54.740,0,True,hard use fill inexpensive piece roll cone honestly find difficult use hard fill roll paper frustrating situation point roll cone hand quick use tool,-0.091667,0.730556
5,2015-10-13 19:44:30.000,1,True,great non pastey mineral sunscreen ... try eat ... stuff great kid tube week palm springs w/ daily pool visit kids.<br /><br />one year update finally stock stuff great kid friend parent ask let use wait come sure sure year year like limited batch ...,0.416071,0.646329
5,2013-02-01 19:27:38.000,0,True,great product able drown snore bed absolutely point dual speed cost loud ambient noise awake room,0.400000,0.768750
5,2019-11-24 02:48:54.609,0,True,work great works great,0.800000,0.750000
5,2016-02-24 07:21:46.000,0,False,love soft clean look skin ... love soft clean look skin extremely bonus gift use heel let tell phenomenal find quality like price store online find long shower use pamper look great foot,0.305833,0.595000
1,2021-06-30 00:38:28.124,0,True,stick absolutely suck dyson blow dryer wait day fall holder wall way fall,0.200000,0.900000
5,2019-11-01 14:29:23.894,0,True,great product love curl iron easy use great result curl comb finger curl stay day,0.633333,0.733333
5,2014-03-13 13:38:43.000,1,True,best wax good wax kit ve purchase use week result great,0.833333,0.550000
